seq_len,impl,ms,tflops,max_abs_flash,error
512,cutile_standard,0.04631999880075455,2.8976194187166864,0.00390625,
512,cutile_fa_v1,0.033503999933600426,4.006021020355721,0.00390625,
512,cutile_fa_v2,0.0325119998306036,4.128251990013258,0.00390625,
512,torch_flash_sdpa,0.039871999993920326,3.366215088795783,0.0,
1024,cutile_standard,0.09296000003814697,5.775289498490642,0.00390625,
1024,cutile_fa_v1,0.052000001072883606,10.324440402366868,0.00390625,
1024,cutile_fa_v2,0.04854400083422661,11.059469816535431,0.00390625,
1024,torch_flash_sdpa,0.06838399916887283,7.850826487556083,0.0,
2048,cutile_standard,0.266960009932518,8.04421474415902,0.001953125,
2048,cutile_fa_v1,0.1451840028166771,14.791461912726113,0.00390625,
2048,cutile_fa_v2,0.12492800503969193,17.1897697983547,0.00390625,
2048,torch_flash_sdpa,0.15376000106334686,13.966464835775257,0.0,
4096,cutile_standard,0.8875679969787598,9.678058043146823,0.001953125,
4096,cutile_fa_v1,0.4819519966840744,17.823216110941463,0.00390625,
4096,cutile_fa_v2,0.4118240028619766,20.858265988150595,0.00390625,
4096,torch_flash_sdpa,0.46854399144649506,18.333250983501127,0.0,
8192,cutile_standard,3.343311905860901,10.27715610612537,0.00390625,
8192,cutile_fa_v1,1.7790719866752625,19.31329289952546,0.00390625,
8192,cutile_fa_v2,1.505456030368805,22.8234751961388,0.00390625,
8192,torch_flash_sdpa,1.6290879845619202,21.09139512022103,0.0,
16384,cutile_fa_v1,7.298304080963135,18.83162882052218,,
16384,cutile_fa_v2,6.107280015945435,22.504118545925852,,
16384,torch_flash_sdpa,6.323616027832031,21.734234473929487,,
32768,cutile_fa_v1,29.072927474975586,18.909544433088147,,
32768,cutile_fa_v2,24.6441593170166,22.307752795137866,,
32768,torch_flash_sdpa,24.8221435546875,22.147797698324975,,
65536,cutile_fa_v1,113.70928192138672,19.33899518486364,,
65536,cutile_fa_v2,97.15010833740234,22.635314496148496,,
65536,torch_flash_sdpa,97.32051086425781,22.595681383333336,,
131072,cutile_fa_v1,452.57000732421875,19.435872638167396,,
131072,cutile_fa_v2,387.0777282714844,22.72435839046439,,
131072,torch_flash_sdpa,388.0873718261719,22.66523896620851,,
262144,cutile_fa_v1,1814.404541015625,19.391690934116223,,
262144,cutile_fa_v2,1559.7041015625,22.5583635085556,,
262144,torch_flash_sdpa,1548.4124755859375,22.72286786860059,,
524288,cutile_fa_v1,7359.443359375,19.12338766437359,,
524288,cutile_fa_v2,6265.235107421875,22.46324135364188,,
524288,torch_flash_sdpa,6207.338134765625,22.67276009455572,,
1048576,cutile_fa_v1,29294.9697265625,19.216608130196185,,
1048576,cutile_fa_v2,25022.88671875,22.49740246793691,,
1048576,torch_flash_sdpa,24723.4208984375,22.769905335264102,,
